game_timer,possession_clock,ball_x,ball_y,ball_radius,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,player_5_x,player_5_y,player_6_x,player_6_y,player_7_x,player_7_y,player_8_x,player_8_y,player_9_x,player_9_y,player_10_x,player_10_y
710.0200,11.2700,33.2495,31.5368,3.3817,15.1455,13.2803,7.2626,17.4927,32.1245,32.0434,3.3787,24.5219,24.1393,37.8895,12.8573,18.8918,7.0753,19.6705,27.6897,31.4005,17.5631,35.6391,6.6608,28.7781
709.9800,11.2500,33.4334,30.7201,2.7808,15.0046,13.2933,7.2683,17.4835,32.2394,31.4960,3.3213,23.8512,24.1726,37.8787,12.8448,18.8421,7.1587,19.8052,27.7880,30.9656,17.5432,35.7068,6.5487,28.3586
709.9400,11.2300,33.7624,30.0490,2.0276,14.8681,13.3098,7.2750,17.4780,32.3648,30.9264,3.2878,23.1799,24.2525,37.8257,12.8297,18.7940,7.2324,19.9211,27.8878,30.5615,17.5189,35.7646,6.4649,27.9365
709.9000,11.2000,33.9449,29.2441,1.1243,14.7306,13.3284,7.2821,17.4641,32.5002,30.3501,3.2684,22.5041,24.3206,37.8187,12.8285,18.7648,7.3216,20.0334,27.9923,30.1754,17.4894,35.8049,6.3311,27.5046
709.8600,11.1800,34.0441,28.6021,0.4736,14.6003,13.3483,7.3013,17.4734,32.6210,29.7920,3.2869,21.8305,24.3741,37.8127,12.8369,18.7489,7.4275,20.1593,28.1081,29.8060,17.4561,35.8307,6.1902,27.0728
709.8200,11.1600,34.1335,27.6276,1.1715,14.4725,13.3666,7.3140,17.4651,32.7263,29.2429,3.2827,21.1257,24.4039,37.7625,12.8517,18.7510,7.5588,20.3186,28.2076,29.4213,17.4181,35.8407,6.0865,26.6432
709.7800,11.1300,34.2449,27.0047,2.1444,14.3423,13.3718,7.3260,17.4565,32.8355,28.7182,3.3097,20.4224,24.4137,37.7019,12.8682,18.7676,7.6939,20.4789,28.3123,29.0475,17.3734,35.8367,5.9366,26.1892
709.7400,11.1100,34.4641,27.5355,2.5763,14.2164,13.3751,7.2949,17.4416,32.9438,28.2195,3.3670,19.7508,24.4051,37.6310,12.8871,18.7940,7.8302,20.6286,28.4194,28.6929,17.3237,35.8247,5.7864,25.6697
709.7000,11.0900,34.5413,27.1658,3.1895,14.0886,13.3782,7.2656,17.4432,33.0674,27.7414,3.4529,19.1005,24.3862,37.5644,12.9035,18.8299,7.9695,20.7694,28.5355,28.3505,17.2654,35.7987,5.6356,25.1243
709.6600,11.0600,34.6729,26.8215,3.6206,13.9626,13.3801,7.2480,17.3898,33.2447,27.3093,3.5223,18.3843,24.3514,37.4880,12.9076,18.8672,8.1000,20.9181,28.6569,28.0380,17.2062,35.7653,5.4923,24.6295
709.6200,11.0400,34.6733,26.3890,3.9425,13.8385,13.3784,7.2186,17.3678,33.4081,26.8823,3.6182,17.6723,24.3355,37.4606,12.9014,18.9003,8.2454,21.0801,28.7909,27.7365,17.1421,35.7203,5.3800,24.1084
709.5800,11.0200,34.9056,25.8818,3.9880,13.7124,13.3744,7.1783,17.3310,33.5140,26.4462,3.7367,16.9757,24.2820,37.3972,12.8965,18.9283,8.3949,21.2283,28.9223,27.4517,17.0752,35.6724,5.2593,23.5768
709.5400,11.0000,34.9883,25.3667,4.1154,13.5835,13.3674,7.1322,17.3000,33.6605,26.0436,3.9052,16.3328,24.2172,37.3274,12.8681,18.9219,8.5409,21.3607,29.0526,27.1822,17.0044,35.6229,5.1358,23.0191
709.5000,10.9700,34.9942,24.9395,3.9566,13.4534,13.3561,7.1039,17.2790,33.7726,25.6373,4.0985,15.7106,24.1476,37.2518,12.8638,18.9601,8.6758,21.4970,29.1727,26.9044,16.9296,35.5737,5.0065,22.4458
709.4600,10.9500,34.8783,24.8804,4.4137,13.3199,13.3346,7.0264,17.2571,33.8738,25.2295,4.3513,15.1450,24.0942,37.1876,12.8468,18.9902,8.8002,21.6365,29.2763,26.6367,16.8529,35.5263,4.8803,21.8607
